Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
芳,perfumed,"perfume, balmy, flavorable, fragrant ",7,493,1317,1855,1855,1780,3,1303,2545,4B27,ホウ    かんば.しい    ,ホウ,"[芳香, 芳紀, 芳志]","[ほうこう, ほうき, ほうし]",芳しい,かんば.しい,",perfume,flowers,compass,direction,",",kata,kusa,",かんば-しい,ホウ    かんば.しい    Name Readings:  お    かおる    は    ほ    みち    やす    よし    ,4 2k1KO
蔑,revile,"ignore, despise, neglect, ridicule ",13,2390,2982,1856,1856,2279,1.5,2328,2490,4A4E,ベツ    ないがしろ    なみ.する    くらい    さげす.む    ,ベツ,,,蔑む,さげす.む,",revile,flowers,eye,cross-eyed,net,march,",",hoko,me,amigashira,kusa,",さげす-む,ベツ    ないがしろ    なみ.する    くらい    さげす.む    ,4 2k1KO
薫,fragrant,"send forth fragrance, fragrant, be scented, smoke (tobacco) ",16,1681,427,1857,1857,1779,2.5,1683,674,3730,クン    かお.る    ,クン,"[薫風, 薫陶]","[くんぷう, くんとう]",薫る,かお.る,",fragrant,flowers,heavy,thousand,ri,computer,oven-fire,barbecue,",",hi,renga,rekka,kusa,sato,",かお-る,クン    かお.る    Name Readings:  かおり    かおる    かほ    かほる    くに    しげ    にほ    のぶ    よし    ,4 2k1KO
慕,pining,"pining, yearn for, love dearly, adore ",14,633,700,1858,1858,1343,3,1942,2517,4A69,ボ    した.う    ,ボ,"[慕情, 敬慕, 思慕]","[ぼじょう, けいぼ, しぼ]",慕う,した.う,",pining,graveyard,flowers,sun,day,large,St. Bernard,valentine,",",ookii,kokoro,nichi,jitsu,kusa,",した-う,ボ    した.う    ,4 2k1KO
恭,respect,"respect, reverent ",10,1803,1195,1859,1859,1345,2.5,1754,583,3633,キョウ    うやうや.しい    ,キョウ,"[恭賀, 恭順]","[きょうが, きょうじゅん]",恭しい,うやうや.しい,",respect,strung together,salad,animal legs,eight,valentine,",",hachi,hati,kokoro,",うやうや-しい,キョウ    うやうや.しい    Name Readings:  きよ    やす    やすし    ゆき    よし    ,4 2k1KO
拭,wipe,"wipe, mop, swab ",9,2254,2987,1860,1860,1027,1.5,2120,1411,3F21,ショク    シキ    ぬぐ.う    ふ.く    ,ショク,,,拭う; 拭く,ぬぐ.う; ふ.く,",wipe,finger,fingers,style,arrow,craft,",",takumi,shikigamae,sikigamae,te,tehen,",ぬぐ-う　　ふ-く,ショク    シキ    ぬぐ.う    ふ.く    ,4 2k1KO
挫,sprain,"crush, break, sprain, discourage ",11,2845,2357,1861,1861,1699,1.5,1951,975,3A43,ザ    サ    くじ.く    くじ.ける    ,ザ,,,,,",sprain,finger,fingers,sitting in meditation,assembly line,person,soil,dirt,ground,person2,",",hito,ninben,tsuchi,tuti,te,tehen,",,ザ    サ    くじ.く    くじ.ける    ,4 2k1KO
挨,shove,push open ,10,2248,3060,1862,1862,2247,1.5,2075,7,3027,アイ    ひら.く    ,アイ,,,,,",shove,finger,fingers,elbow,dart,drop,heavens,",",tenn,mu,te,tehen,ya,",,アイ    ひら.く    ,4 2k1KO
拶,imminent,be imminent ,9,2261,3015,1863,1863,2248,1.5,2195,1036,3B22,サツ    せま.る    ,サツ,,,,,",imminent,finger,fingers,stream,flood,evening,",",yuube,kawa,te,tehen,",,サツ    せま.る    ,4 2k1KO
挟,sandwiched,"pinch, between ",9,1267,292,1864,1864,1934,2.5,1814,584,3634,キョウ    ショウ    はさ.む    はさ.まる    わきばさ.む    さしはさ.む    ,キョウ,[挟撃],[きょうげき],挟まる; 挟む,はさ.まる; はさ.む,",sandwiched,finger,fingers,scissors,husband,horns,",",te,tehen,",はさ-む、はさ-まる,キョウ    ショウ    はさ.む    はさ.まる    わきばさ.む    さしはさ.む    ,4 2k1KO
