Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
屮,,old grass radical (no. 45) ,3,,,,3677,,1,,3534,5625,T2テツ    ,,,,,,,,,T2テツ    ,
乢,,mountain saddle ,4,,,,3678,,1,,3535,5626,ガイ    たわ    たお    ,,,,,,,,,ガイ    たわ    たお    ,
屶,,used in proper names ,5,,,,3679,,1,,3536,5627,なた    たな    ,,,,,,,,,なた    たな    ,
屹,,towering mountains ,6,,,,3680,,1,,3537,5628,キツ    そばだ.つ    ,,,,,,,,,キツ    そばだ.つ    ,
岌,,"high, dangerous ",7,,,,3681,,1,,3538,5629,キュウ    たか.い    ,,,,,,,,,キュウ    たか.い    ,
岑,,"peak, mountaintop ",7,,,,3682,,1,,3539,562A,シン    ギン    みね    ,,,,,,,,,シン    ギン    みね    ,
岔,,fork in a road ,7,,,,3683,,1,,3540,562B,タ    ,,,,,,,,,タ    ,
妛,,"despise, contempt, ugly, same as ",7,,,,3684,,1,,3541,562C,シ    あなど.る    おろか    みにく.い    みだる    ,,,,,,,,,シ    あなど.る    おろか    みにく.い    みだる    ,
岫,,"gorge, ravine, in the mountains, cape, promontory ",8,,,,3685,,1,,3542,562D,コウ    シュウ    ユウ    みさき    くき    みね    ,,,,,,,,,コウ    シュウ    ユウ    みさき    くき    みね    ,
岻,,name of a mountain ,8,,,,3686,,1,,3543,562E,ジ    ニ    ,,,,,,,,,ジ    ニ    Name Readings:  し    ,
岶,,dense mountain vegetation ,8,,,,3687,,1,,3544,562F,ハク    ,,,,,,,,,ハク    ,
岼,,level spot part-way up a mountain ,8,,,,3688,,1,,3545,5630,ゆり    ,,,,,,,,,ゆり    ,
岷,,"name of a Chinese river, name of a Chinese mountain ",8,,,,3689,,1,,3546,5631,ビン    ミン    ,,,,,,,,,ビン    ミン    ,
峅,,shrine in the mountains ,8,,,,3690,,1,,3547,5632,くら    ,,,,,,,,,くら    ,
岾,,used in proper names ,8,,,,3691,,1,,3548,5633,やま    ,,,,,,,,,やま    ,
峇,,mountain cave ,9,,,,3692,,1,,3549,5634,コウ    ,,,,,,,,,コウ    ,
峙,,"tower, soar ",9,,,,3693,,1,2413,3550,5635,ジ    そばだ.つ    ,,,,,,,,,ジ    そばだ.つ    ,
峩,,lofty ,10,,,,3694,,1,,3551,5636,ガ    けわ.しい    ,,,,,,,,,ガ    けわ.しい    ,
峽,,"gorge, strait, ravine, isthmus ",10,,,,3695,,1,,3552,5637,キョウ    コウ    はざま    ,,,,,,,,,キョウ    コウ    はざま    Name Readings:  かい    ,
峺,,obstruct ,10,,,,3696,,1,,3553,5638,コ    ,,,,,,,,,コ    ,
峭,,high & steep ,10,,,,3697,,1,,3554,5639,ショウ    きび.しい    けわ.しい    ,,,,,,,,,ショウ    きび.しい    けわ.しい    ,
嶌,,island ,14,,,,3698,,1,,3555,563A,トウ    しま    ,,,,,,,,,トウ    しま    ,
峪,,ravine ,10,,,,3699,,1,,3556,563B,ヨク    たに    ,,,,,,,,,ヨク    たに    ,
崋,,name of mountain ,10,,,,3700,,1,,3557,563C,カ    ク    ,,,,,,,,,カ    ク    ,
崕,,"cliff, bluff, precipice ",11,,,,3701,,1,,3558,563D,ガイ    がけ    ,,,,,,,,,ガイ    がけ    ,
崗,,hill ,11,,,,3702,,1,,3559,563E,コウ    おか    ,,,,,,,,,コウ    おか    ,
嵜,,"steep, promontory ",12,,,,3703,,1,,3560,563F,キ    さき    さい    みさき    ,,,,,,,,,キ    さき    さい    みさき    ,
崟,,"peak, mountaintop, steep, lofty ",11,,,,3704,,1,,3561,5640,ギン    みね    ,,,,,,,,,ギン    みね    ,
崛,,high & lofty (mountains) ,11,,,,3705,,1,,3562,5641,クツ    そばだ.つ    たか.い    ,,,,,,,,,クツ    そばだ.つ    たか.い    ,
崑,,place name ,11,,,,3706,,1,,3563,5642,コン    ,,,,,,,,,コン    ,
崔,,"cliff, bluff, precipice ",11,,,,3707,,1,,3564,5643,ガイ    サイ    スイ    がけ    ,,,,,,,,,ガイ    サイ    スイ    がけ    ,
崢,,"high, steep ",11,,,,3708,,1,,3565,5644,ソウ    ,,,,,,,,,ソウ    ,
崙,,place name ,11,,,,3709,,1,,3567,5646,ロン    ,,,,,,,,,ロン    ,
崘,,Kunlun mountains in Jiangsu ,11,,,,3710,,1,,3568,5647,ロン    ,,,,,,,,,ロン    ,
嵒,,rock ,12,,,,3711,,1,,3570,5649,ガン    いわ    けわ.しい    ,,,,,,,,,ガン    いわ    けわ.しい    ,
嵎,,mountain recesses ,12,,,,3712,,1,,3571,564A,グウ    グ    くま    ,,,,,,,,,グウ    グ    くま    ,
嵋,,place name ,12,,,,3713,,1,,3572,564B,ビ    ,,,,,,,,,ビ    ,
嵬,,high and flat ,13,,,,3714,,1,,3573,564C,カイ    ギ    ,,,,,,,,,カイ    ギ    ,
嵳,,"high, towering, irregular, rugged ",13,,,,3715,,1,,3574,564D,サ    ,,,,,,,,,サ    ,
嵶,,mountain pass ,13,,,,3716,,1,,3575,564E,たお.やか    たわ.む    ,,,,,,,,,たお.やか    たわ.む    ,
嶇,,steep ,14,,,,3717,,1,,3576,564F,ク    けわ.しい    ,,,,,,,,,ク    けわ.しい    ,
嶄,,steep or high mountain ,14,,,,3718,,1,,3577,5650,ザン    サン    ,,,,,,,,,ザン    サン    ,
嶂,,"steep, lofty ",14,,,,3719,,1,,3578,5651,ショウ    みね    ,,,,,,,,,ショウ    みね    ,
嶢,,"high, towering ",15,,,,3720,,1,,3579,5652,ギョウ    けわ.しい    ,,,,,,,,,ギョウ    けわ.しい    ,
嶝,,"hill, uphill path ",15,,,,3721,,1,,3580,5653,トウ    さかみち    ,,,,,,,,,トウ    さかみち    ,
嶬,,"high, steep ",16,,,,3722,,1,,3581,5654,ギ    ,,,,,,,,,ギ    ,
嶮,,"inaccessible place, impregnable position, steep place, sharp eyes ",16,,,,3723,,1,,3582,5655,ケン    けわ.しい    ,,,,,,,,,ケン    けわ.しい    ,
嶐,,shape of a mountain ,14,,,,3724,,1,,3584,5657,リュ    やまのかたち    ,,,,,,,,,リュ    やまのかたち    ,
嶷,,wise ,17,,,,3725,,1,,3585,5658,ギョク    ギ    さと.い    ,,,,,,,,,ギョク    ギ    さと.い    ,
嶼,,island ,16,,,,3726,,1,,3586,5659,ショ    しま    ,,,,,,,,,ショ    しま    ,
巉,,"rising precipitously, rising steeply ",20,,,,3727,,1,,3587,565A,ザン    サン    ,,,,,,,,,ザン    サン    ,
巍,,high ,21,,,,3728,,1,,3588,565B,ギ    たか.い    ,,,,,,,,,ギ    たか.い    Name Readings:  たかし    ,
巓,,summit ,22,,,,3729,,1,,3589,565C,テン    いただき    ,,,,,,,,,テン    いただき    ,
巒,,small peak ,22,,,,3730,,1,,3590,565D,ラン    みね    ,,,,,,,,,ラン    みね    ,
巖,,"rock, crag, boulder ",23,,,,3731,,1,,3591,565E,ガン    いわ    いわお    けわ.しい    ,,,,,,,,,ガン    いわ    いわお    けわ.しい    Name Readings:  よし    ,
巛,,curving river radical (no.47) ,3,,,,3732,,1,,3592,565F,セン    かわ    T2まがりがわ    ,,,,,,,,,セン    かわ    T2まがりがわ    ,
巵,,"large winecup, apt, fitting ",7,,,,3733,,1,,3595,5662,シ    さかずき    ,,,,,,,,,シ    さかずき    ,
帋,,"paper, stationary, document ",7,,,,3734,,1,,3596,5663,シ    かみ    ,,,,,,,,,シ    かみ    ,
帚,,broom ,8,,,,3735,,1,,3597,5664,ソウ    シュウ    ほうき    ,,,,,,,,,ソウ    シュウ    ほうき    ,
帙,,Japanese book cover ,8,,,,3736,,1,,3598,5665,チツ    ふまき    ,,,,,,,,,チツ    ふまき    ,
帑,,money repository ,8,,,,3737,,1,,3599,5666,トウ    ド    かねぐら    ,,,,,,,,,トウ    ド    かねぐら    ,
帛,,cloth ,8,,,,3738,,1,,3600,5667,ハク    きぬ    ,,,,,,,,,ハク    きぬ    ,
帶,,"belt, girdle, band, strap, zone ",11,,,,3739,,1,,3601,5668,タイ    お.びる    おび    ,,,,,,,,,タイ    お.びる    おび    ,
帷,,"curtain, screen ",11,,,,3740,,1,,3602,5669,イ    とばり    ,,,,,,,,,イ    とばり    ,
幄,,curtain ,12,,,,3741,,1,,3603,566A,アク    とばり    ,,,,,,,,,アク    とばり    ,
幃,,bag ,13,,,,3742,,1,,3604,566B,イ    キ    とばり    ,,,,,,,,,イ    キ    とばり    ,
幀,,making books or scrolls ,12,,,,3743,,1,,3605,566C,テイ    チョウ    トウ    ,,,,,,,,,テイ    チョウ    トウ    ,
幎,,cloth covering ,13,,,,3744,,1,,3606,566D,ベキ    とばり    ,,,,,,,,,ベキ    とばり    ,
幗,,"woman's head covering, veil ",14,,,,3745,,1,,3607,566E,カク    ,,,,,,,,,カク    ,
幔,,curtain ,14,,,,3746,,1,,3608,566F,マン    バン    まく    ,,,,,,,,,マン    バン    まく    ,
幢,,"flag, banner ",15,,,,3747,,1,,3610,5671,トウ    はた    ,,,,,,,,,トウ    はた    ,
幤,,"shinto zigzag paper offerings, bad habit, humble prefix, gift ",15,,,,3748,,1,,3611,5672,ヘイ    ぬさ    ,,,,,,,,,ヘイ    ぬさ    ,
幇,,help ,12,,,,3749,,1,3020,3612,5673,ホウ    たす.ける    ,,,,,,,,,ホウ    たす.ける    ,
幵,,put together ,6,,,,3750,,1,,3613,5674,ヘイ    ,,,,,,,,,ヘイ    ,
并,,put together ,6,,,,3751,,1,,3614,5675,ヘイ    ヒョウ    あわ.せる    なら.ぶ    ,,,,,,,,,ヘイ    ヒョウ    あわ.せる    なら.ぶ    ,
幺,,short thread radical (no. 52) ,3,,,,3752,,1,,3615,5676,ヨウ    ちいさい    T2いとがしら    ようへん    ,,,,,,,,,ヨウ    ちいさい    T2いとがしら    ようへん    ,
麼,,rope ,14,,,,3753,,1,,3616,5677,ビ    ミ    バ    マ    モ    ,,,,,,,,,ビ    ミ    バ    マ    モ    ,
广,,dotted cliff ,3,,,,3754,,1,,3617,5678,ゲン    T2まだれ    ,,,,,,,,,ゲン    T2まだれ    ,
庠,,school ,9,,,,3755,,1,,3618,5679,ショウ    まなびや    ,,,,,,,,,ショウ    まなびや    ,
廁,,"toilet, lavatory, mingle with ",12,,,,3756,,1,,3619,567A,シ    ショク    かわや    ,,,,,,,,,シ    ショク    かわや    ,
廂,,"eaves, canopy, vizor, hallways ",12,,,,3757,,1,,3620,567B,ショウ    ソウ    ひさし    ,,,,,,,,,ショウ    ソウ    ひさし    Name Readings:  ひさ    ,
廈,,house ,13,,,,3758,,1,,3621,567C,カ    サ    いえ    ,,,,,,,,,カ    サ    いえ    ,
廐,,"barn, stable ",14,,,,3759,,1,,3622,567D,キュウ    うまや    ,,,,,,,,,キュウ    うまや    ,
廏,,"barn, stable ",14,,,,3760,,1,,3623,567E,キュウ    うまや    ,,,,,,,,,キュウ    うまや    ,
廖,,"empty, name ",14,,,,3761,,1,,3624,5721,リョウ    ,,,,,,,,,リョウ    ,
廣,,"broad, wide, spacious ",15,,,,3762,,1,,3625,5722,コウ    ひろ.い    ひろ.まる    ひろ.める    ひろ.がる    ひろ.げる    ,,,,,,,,,コウ    ひろ.い    ひろ.まる    ひろ.める    ひろ.がる    ひろ.げる    ,
廝,,servant ,15,,,,3763,,1,,3626,5723,シ    こもの    ,,,,,,,,,シ    こもの    ,
廚,,kitchen ,15,,,,3764,,1,,3627,5724,シュウ    ズ    チュ    チュウ    くりや    ,,,,,,,,,シュウ    ズ    チュ    チュウ    くりや    ,
廛,,"fine residence, shop, store ",15,,,,3765,,1,,3628,5725,テン    みせ    やしき    たな    ,,,,,,,,,テン    みせ    やしき    たな    ,
廢,,"abrogate, terminate, discard ",15,,,,3766,,1,,3629,5726,ハイ    すた.れる    すた.る    ,,,,,,,,,ハイ    すた.れる    すた.る    ,
廡,,walking under the eaves ,15,,,,3767,,1,,3630,5727,ブ    しげ.る    ひさし    ,,,,,,,,,ブ    しげ.る    ひさし    ,
廨,,government office ,16,,,,3768,,1,,3631,5728,カイ    ケ    やくしょ    ,,,,,,,,,カイ    ケ    やくしょ    ,
廩,,rice storehouse ,16,,,,3769,,1,,3632,5729,リン    くら    ,,,,,,,,,リン    くら    ,
廬,,hermitage ,19,,,,3770,,1,,3633,572A,ロ    リョ    いお    いおり    いえ    ,,,,,,,,,ロ    リョ    いお    いおり    いえ    ,
廱,,"mild, congenial, block, obstruct ",21,,,,3771,,1,,3634,572B,ヨウ    やわらぐ    ,,,,,,,,,ヨウ    やわらぐ    ,
廳,,"hall, central room ",25,,,,3772,,1,,3635,572C,チョウ    テイ    やくしょ    ,,,,,,,,,チョウ    テイ    やくしょ    ,
廰,,"government office, var of JIS572c ",20,,,,3773,,1,,3636,572D,チョウ    テイ    やくしょ    ,,,,,,,,,チョウ    テイ    やくしょ    ,
廴,,long stride or stretching radical (no. 54) ,3,,,,3774,,1,,3637,572E,イン    T2いんにょう    えんにょう    ,,,,,,,,,イン    T2いんにょう    えんにょう    ,
廸,,"path, way, guide, lead, proceed, advance, reach, arrive ",8,,,,3775,,1,,3638,572F,テキ    みち    みち.びく    すす.む    いた.る    ,,,,,,,,,テキ    みち    みち.びく    すす.む    いた.る    ,
廾,,"twenty, 20 ",3,,,,3776,,1,,3639,5730,キョウ    ク    にじゅう    T2にじゅうあし    ,,,,,,,,,キョウ    ク    にじゅう    T2にじゅうあし    ,
弃,,"reject, abandon, discard ",7,,,,3777,,1,,3640,5731,キ    すて.る    ,,,,,,,,,キ    すて.る    ,
弉,,"large, powerful, stout, thick ",10,,,,3778,,1,,3641,5732,ジョウ    ソウ    さかん    ,,,,,,,,,ジョウ    ソウ    さかん    ,
彝,,moral principle ,18,,,,3779,,1,,3642,5733,イ    つね    ,,,,,,,,,イ    つね    ,
彜,,moral principle ,16,,,,3780,,1,,3643,5734,イ    つね    ,,,,,,,,,イ    つね    ,
弋,,"piling, ceremony radical (no. 56) ",3,,,,3781,,1,,3644,5735,ヨク    いぐるみ    T2しきがまえ    ,,,,,,,,,ヨク    いぐるみ    T2しきがまえ    ,
弑,,murder one's lord or father ,12,,,,3782,,1,,3645,5736,シ    シイ    しい.する    ,,,,,,,,,シ    シイ    しい.する    ,
弖,,phoneme only ,4,,,,3783,,1,,3646,5737,テ    ,,,,,,,,,テ    ,
弩,,bow (arrow) ,8,,,,3784,,1,,3647,5738,ド    おおゆみ    いしゆみ    ,,,,,,,,,ド    おおゆみ    いしゆみ    ,
弭,,"stop, cease, notches where drawstring is attached to the bow ",9,,,,3785,,1,,3648,5739,ビ    ミ    や.める    や.む    ゆは.ず    ,,,,,,,,,ビ    ミ    や.める    や.む    ゆは.ず    ,
弸,,"strong bow, full ",11,,,,3786,,1,,3649,573A,ホウ    ,,,,,,,,,ホウ    ,
彁,,(no known meaning; s&H uses jabberwocky words) ,13,,,,3787,,1,,3650,573B,カ    セイ    ,,,,,,,,,カ    セイ    ,
彈,,"bullet, twang, flip, snap ",15,,,,3788,,1,,3651,573C,ダン    タン    ひ.く    はず.む    たま    はじ.く    はじ.ける    ただ.す    ,,,,,,,,,ダン    タン    ひ.く    はず.む    たま    はじ.く    はじ.ける    ただ.す    ,
彌,,"extensive, full, fill, complete ",17,,,,3789,,1,,3652,573D,ミ    ビ    いや    や    あまねし    いよいよ    とおい    ひさし    ひさ.しい    わた.る    ,,,,,,,,,ミ    ビ    いや    や    あまねし    いよいよ    とおい    ひさし    ひさ.しい    わた.る    Name Readings:  ゆ    ,
彎,,"curve, stretching a bow ",22,,,,3790,,1,,3653,573E,ワン    ひ.く    ,,,,,,,,,ワン    ひ.く    ,
弯,,"curve, stretching a bow ",9,,,,3791,,1,,3654,573F,ワン    ひ.く    ,,,,,,,,,ワン    ひ.く    ,
彑,,pig's head ,3,,,,3792,,1,,3655,5740,ケイ    T2けいがしら    ,,,,,,,,,ケイ    T2けいがしら    ,
彖,,divination ,9,,,,3793,,1,,3656,5741,タン    ,,,,,,,,,タン    ,
彡,,"three, hair ornament, short hair or fur radical (no. 59) ",3,,,,3794,,1,,3659,5744,サン    セン    T2さんづくり    かみかざり    ,,,,,,,,,サン    セン    T2さんづくり    かみかざり    ,
彭,,"swelling, sound of drum ",12,,,,3795,,1,,3660,5745,ホウ    ,,,,,,,,,ホウ    ,
彳,,"stop, linger, loiter ",3,,,,3796,,1,,3661,5746,テキ    たた.ずむ    T2ぎょうにんべん    ,,,,,,,,,テキ    たた.ずむ    T2ぎょうにんべん    ,
彷,,"stray, wander, loiter ",7,,,,3797,,1,2688,3662,5747,ホウ    さまよ.う    ,,,,,,,,,ホウ    さまよ.う    ,
徃,,"journey, chase away, let go, going, travel ",8,,,,3798,,1,,3663,5748,オウ    い.く    いにしえ    さき.に    ゆ.く    ,,,,,,,,,オウ    い.く    いにしえ    さき.に    ゆ.く    Name Readings:  みち    ,
徂,,go ,8,,,,3799,,1,,3664,5749,ソ    ゆ.く    ,,,,,,,,,ソ    ゆ.く    ,
彿,,dimly ,8,,,,3800,,1,,3665,574A,フツ    ,,,,,,,,,フツ    ,
徊,,wandering ,9,,,,3801,,1,3134,3666,574B,カイ    クワイ    エ    さまよ.う    ,,,,,,,,,カイ    クワイ    エ    さまよ.う    ,
很,,"disobey, dispute, very, go against, be contrary to ",9,,,,3802,,1,,3667,574C,コン    コウ    ギン    もと.る    ,,,,,,,,,コン    コウ    ギン    もと.る    ,
徑,,"path, diameter, method ",10,,,,3803,,1,,3668,574D,ケイ    みち    こみち    さしわたし    ただちに    ,,,,,,,,,ケイ    みち    こみち    さしわたし    ただちに    ,
徇,,"herald, announce, follow, obey, seek, lay down one's life ",9,,,,3804,,1,,3669,574E,ジュン    シュン    あまねし    したが.う    とな.える    ,,,,,,,,,ジュン    シュン    あまねし    したが.う    とな.える    ,
從,,"from, by, since, whence, through ",11,,,,3805,,1,,3670,574F,ジュウ    ショウ    ジュ    したが.う    したが.える    より    ,,,,,,,,,ジュウ    ショウ    ジュ    したが.う    したが.える    より    ,
徙,,move ,11,,,,3806,,1,,3671,5750,シ    うつ.る    うつ.す    ,,,,,,,,,シ    うつ.る    うつ.す    ,
徘,,wander ,11,,,,3807,,1,2946,3672,5751,ハイ    さまよ.う    ,,,,,,,,,ハイ    さまよ.う    ,
徠,,"induce, encourage to come ",11,,,,3808,,1,9999,3673,5752,ライ    きた.す    きた.る    く.る    ,,,,,,,,,ライ    きた.す    きた.る    く.る    ,
徨,,wandering ,12,,,,3809,,1,3058,3674,5753,コウ    さまよ.う    ,,,,,,,,,コウ    さまよ.う    ,
徭,,"compulsory service to the state, corvee ",13,,,,3810,,1,,3675,5754,ヨウ    エウ    えだち    ふぞろ.い    つかい    ,,,,,,,,,ヨウ    エウ    えだち    ふぞろ.い    つかい    ,
徼,,"seek, enquire, go around, border ",16,,,,3811,,1,,3676,5755,キョウ    ヨウ    めぐ.る    ,,,,,,,,,キョウ    ヨウ    めぐ.る    ,
忖,,conjecture ,6,,,,3812,,1,,3677,5756,ソン    はか.る    ,,,,,,,,,ソン    はか.る    ,
忻,,"rejoice, open one's heart ",7,,,,3813,,1,,3678,5757,キン    よろこ.ぶ    ,,,,,,,,,キン    よろこ.ぶ    ,
忤,,"insubordinate, stubborn, wrong ",7,,,,3814,,1,,3679,5758,ゴ    さから.う    もと.る    ,,,,,,,,,ゴ    さから.う    もと.る    ,
忸,,shame ,7,,,,3815,,1,,3680,5759,ジク    ジュウ    はじ.る    ,,,,,,,,,ジク    ジュウ    はじ.る    ,
忱,,sincere ,7,,,,3816,,1,,3681,575A,シン    まこと    ,,,,,,,,,シン    まこと    ,
忝,,"grateful, indebted ",8,,,,3817,,1,,3682,575B,テン    かたじけな.い    ,,,,,,,,,テン    かたじけな.い    ,
悳,,"ethics, morality, virtue ",12,,,,3818,,1,,3683,575C,トク    ,,,,,,,,,トク    Name Readings:  いさお    ,
忿,,be angry ,8,,,,3819,,1,,3684,575D,フン    いか.る    いかり    ,,,,,,,,,フン    いか.る    いかり    ,
怡,,"rejoice, enjoy ",8,,,,3820,,1,,3685,575E,イ    よろこ.ぶ    ,,,,,,,,,イ    よろこ.ぶ    ,
恠,,"suspicious, mystery, apparition ",9,,,,3821,,1,,3686,575F,カイ    ケ    あや.しい    あや.しむ    ,,,,,,,,,カイ    ケ    あや.しい    あや.しむ    ,
怙,,"depend, rely on, father ",8,,,,3822,,1,,3687,5760,コ    たの.む    ,,,,,,,,,コ    たの.む    ,
怐,,"foolish, fear ",8,,,,3823,,1,,3688,5761,ク    ,,,,,,,,,ク    ,
怩,,shame ,8,,,,3824,,1,,3689,5762,ジ    ,,,,,,,,,ジ    ,
怎,,"why, how ",9,,,,3825,,1,,3690,5763,シン    ソ    いかで    なんぞ    ,,,,,,,,,シン    ソ    いかで    なんぞ    ,
怱,,"rush, hurry, be flustered ",9,,,,3826,,1,,3691,5764,ソウ    にわか    あわ.てる    ,,,,,,,,,ソウ    にわか    あわ.てる    Name Readings:  さと    ,
怛,,"be sad, be dejected, fear ",8,,,,3827,,1,,3692,5765,ダツ    タン    タツ    いた.む    ,,,,,,,,,ダツ    タン    タツ    いた.む    ,
怕,,oak ,8,,,,3828,,1,,3693,5766,ハク    ヒャク    ハ    かしわ    おそ.れる    ,,,,,,,,,ハク    ヒャク    ハ    かしわ    おそ.れる    ,
怫,,anger ,8,,,,3829,,1,,3694,5767,フツ    ハイ    ヒ    ,,,,,,,,,フツ    ハイ    ヒ    ,
怦,,"in a hurry, excited, agitated ",8,,,,3830,,1,,3695,5768,ホウ    ヒョウ    ,,,,,,,,,ホウ    ヒョウ    ,
怏,,"dissatisfaction, grudge ",8,,,,3831,,1,,3696,5769,オウ    ヨウ    うら.む    ,,,,,,,,,オウ    ヨウ    うら.む    ,
怺,,"endure, (kokuji) ",8,,,,3832,,1,,3697,576A,こら.える    ,,,,,,,,,こら.える    ,
恚,,anger ,10,,,,3833,,1,,3698,576B,イ    いか.る    ,,,,,,,,,イ    いか.る    ,
恁,,"like this, thus ",10,,,,3834,,1,,3699,576C,イン    ジン    ニン    ,,,,,,,,,イン    ジン    ニン    ,
恪,,carefulness ,9,,,,3835,,1,,3700,576D,カク    つつし.む    ,,,,,,,,,カク    つつし.む    ,
恷,,be contrary to ,10,,,,3836,,1,,3701,576E,キュウ    ,,,,,,,,,キュウ    ,
恟,,fear ,9,,,,3837,,1,,3702,576F,キョウ    おそ.れる    ,,,,,,,,,キョウ    おそ.れる    ,
恊,,threaten ,9,,,,3838,,1,,3703,5770,キョウ    あわ.せる    かな.う    ,,,,,,,,,キョウ    あわ.せる    かな.う    ,
恆,,"constant, regular, persistent ",9,,,,3839,,1,,3704,5771,コウ    つね.に    ,,,,,,,,,コウ    つね.に    Name Readings:  わたる    ひさし    ,
恍,,"unclear, senile, stupid, joke ",9,,,,3840,,1,3115,3705,5772,コウ    とぼ.ける    ほ.れる    ,,,,,,,,,コウ    とぼ.ける    ほ.れる    ,
恣,,"selfish, arbitrary ",10,,,,3841,,1,2416,3706,5773,シ    ほしいまま    ,シ,,,,,,,,シ    ほしいまま    ,
恃,,depend on ,9,,,,3842,,1,,3707,5774,ジ    シ    たの.む    ,,,,,,,,,ジ    シ    たの.む    ,
恤,,"relieve, have mercy ",9,,,,3843,,1,,3708,5775,ジュツ    シュツ    めぐ.む    あわ.れむ    うれ.える    ,,,,,,,,,ジュツ    シュツ    めぐ.む    あわ.れむ    うれ.える    ,
恂,,"sincere, fear, sudden, blinking ",9,,,,3844,,1,,3709,5776,ジュン    シュン    まこと    ,,,,,,,,,ジュン    シュン    まこと    ,
恬,,composure ,9,,,,3845,,1,,3710,5777,テン    やすら.く    やす.い    ,,,,,,,,,テン    やすら.く    やす.い    ,
恫,,"painful, fearful ",9,,,,3846,,1,,3711,5778,ドウ    トウ    いた.む    ,,,,,,,,,ドウ    トウ    いた.む    ,
恙,,illness ,10,,,,3847,,1,,3712,5779,ヨウ    つつが.ない    ,,,,,,,,,ヨウ    つつが.ない    ,
悁,,"anger, worry, impatience ",10,,,,3848,,1,,3713,577A,エン    ケン    ,,,,,,,,,エン    ケン    ,
悍,,"rough, clumsy, violent ",10,,,,3849,,1,9999,3714,577B,カン    たけし    あらし    ,,,,,,,,,カン    たけし    あらし    ,
惧,,"fear, be afraid of, dread ",11,,,,3850,,1,2098,3715,577C,ク    おそ.れる    ,グ,,,,,,,,ク    おそ.れる    ,
悃,,sincerity ,10,,,,3851,,1,,3716,577D,コン    まごころ    ,,,,,,,,,コン    まごころ    ,
悚,,fear ,10,,,,3852,,1,,3717,577E,ショウ    おそ.れる    ,,,,,,,,,ショウ    おそ.れる    ,
悄,,anxiety ,10,,,,3853,,1,,3718,5821,ショウ    うれ.える    ,,,,,,,,,ショウ    うれ.える    ,
悖,,be contrary ,10,,,,3854,,1,,3720,5823,ハイ    ボツ    もと.る    ,,,,,,,,,ハイ    ボツ    もと.る    ,
悗,,be perplexed ,10,,,,3855,,1,,3721,5824,バン    マン    ,,,,,,,,,バン    マン    ,
悒,,be depressed ,10,,,,3856,,1,,3722,5825,ユウ    ふさ.ぐ    うれ.える    ,,,,,,,,,ユウ    ふさ.ぐ    うれ.える    ,
悧,,clever ,10,,,,3857,,1,9999,3723,5826,リ    ,,,,,,,,,リ    ,
悋,,stingy ,10,,,,3858,,1,,3724,5827,リン    ねた.む    やぶさか    お.しむ    ,,,,,,,,,リン    ねた.む    やぶさか    お.しむ    ,
惡,,"bad, evil ",12,,,,3859,,1,,3725,5828,アク    オ    わる.い    あ.し    にく.い    ああ    いずくに    いずくんぞ    にく.む    ,,,,,,,,,アク    オ    わる.い    あ.し    にく.い    ああ    いずくに    いずくんぞ    にく.む    ,
悸,,"pulsate, shudder ",11,,,,3860,,1,9999,3726,5829,キ    ,,,,,,,,,キ    ,
惠,,"blessing, grace, favor, kindness ",12,,,,3861,,1,,3727,582A,ケイ    エ    めぐ.む    めぐ.み    ,,,,,,,,,ケイ    エ    めぐ.む    めぐ.み    ,
惓,,"be respectful, grow tired ",11,,,,3862,,1,,3728,582B,ケン    うむ    ,,,,,,,,,ケン    うむ    ,
悴,,"becoming emaciated, son ",11,,,,3863,,1,9999,3729,582C,スイ    せがれ    やつ.れる    ,,,,,,,,,スイ    せがれ    やつ.れる    ,
忰,,"suffer, become emaciated, haggard ",7,,,,3864,,1,,3730,582D,スイ    せがれ    やつ.れる    ,,,,,,,,,スイ    せがれ    やつ.れる    ,
悽,,"be sad, be sorrowful ",11,,,,3865,,1,,3731,582E,セイ    いたむ    ,,,,,,,,,セイ    いたむ    ,
惆,,"grieve over, be disappointed ",11,,,,3866,,1,,3732,582F,チュウ    うら.む    ,,,,,,,,,チュウ    うら.む    ,
悵,,be sad ,11,,,,3867,,1,,3733,5830,チョウ    いた.む    うら.む    ,,,,,,,,,チョウ    いた.む    うら.む    ,
惘,,"unclear, be astonished ",11,,,,3868,,1,,3734,5831,ボウ    モウ    あき.れる    ,,,,,,,,,ボウ    モウ    あき.れる    ,
慍,,be angry (excited) ,13,,,,3869,,1,,3735,5832,ウン    オン    いか.る    いか.り    うら.む    ,,,,,,,,,ウン    オン    いか.る    いか.り    うら.む    ,
愕,,"surprised, frightened ",12,,,,3870,,1,2528,3736,5833,ガク    おどろ.く    ,,,,,,,,,ガク    おどろ.く    ,
愆,,"mistake, fault, offence ",13,,,,3871,,1,,3737,5834,ケン    あや.まる    ,,,,,,,,,ケン    あや.まる    ,
